validation_id,sample_id,faithfulness_score,groundedness_score,relevance_score,citation_accuracy_score,answer_completeness_score,contradiction_score,hallucination_risk_score,validator_decision,validator_feedback,revision_count
VAL-00423,SMP-00423,0.79,0.796,0.901,0.976,0.789,0.129,0.334,revise,Answer is supported by retrieved context.,0
VAL-00424,SMP-00424,0.514,0.646,0.79,0.551,0.814,0.374,0.847,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00425,SMP-00425,0.888,0.988,0.908,0.712,0.836,0.238,0.077,revise,Answer is supported by retrieved context.,0
VAL-00426,SMP-00426,0.775,0.838,0.771,0.721,0.718,0.334,0.23,accept,Answer is supported by retrieved context.,1
VAL-00427,SMP-00427,0.714,0.229,0.739,0.52,0.839,0.576,0.816,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00428,SMP-00428,0.825,0.95,0.746,0.779,0.68,0.304,0.132,revise,Answer is supported by retrieved context.,0
VAL-00429,SMP-00429,0.79,0.804,0.828,0.721,0.716,0.273,0.103,accept,Answer is supported by retrieved context.,0
VAL-00430,SMP-00430,0.761,0.901,0.825,0.858,0.707,0.08,0.076,accept,Answer is supported by retrieved context.,0
VAL-00431,SMP-00431,0.874,0.758,0.932,0.865,0.794,0.313,0.071,accept,Answer is supported by retrieved context.,0
VAL-00432,SMP-00432,0.837,0.818,0.783,0.875,0.882,0.024,0.291,accept,Answer is supported by retrieved context.,1
VAL-00433,SMP-00433,0.71,0.549,0.857,0.435,0.72,0.379,0.754,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00434,SMP-00434,0.469,0.286,0.907,0.595,0.889,0.268,0.815,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00435,SMP-00435,0.622,0.225,0.724,0.422,0.764,0.013,0.79,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,2
VAL-00436,SMP-00436,0.637,0.301,0.849,0.353,0.704,0.128,0.774,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00437,SMP-00437,0.881,0.815,0.923,0.956,0.891,0.192,0.178,accept,Answer is supported by retrieved context.,0
VAL-00438,SMP-00438,0.477,0.413,0.746,0.284,0.621,0.203,0.924,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,3
VAL-00439,SMP-00439,0.964,0.946,0.859,0.93,0.921,0.355,0.211,accept,Answer is supported by retrieved context.,0
VAL-00440,SMP-00440,0.24,0.426,0.719,0.255,0.798,0.43,0.766,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00441,SMP-00441,0.79,0.86,0.876,0.741,0.703,0.112,0.209,accept,Answer is supported by retrieved context.,1
VAL-00442,SMP-00442,0.575,0.34,0.761,0.172,0.97,0.125,0.707,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00443,SMP-00443,0.976,0.893,0.76,0.834,0.663,0.225,0.278,accept,Answer is supported by retrieved context.,1
VAL-00444,SMP-00444,0.393,0.516,0.882,0.328,0.716,0.355,0.673,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00445,SMP-00445,0.499,0.294,0.809,0.339,0.77,0.171,0.744,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00446,SMP-00446,0.946,0.943,0.737,0.731,0.699,0.22,0.15,accept,Answer is supported by retrieved context.,0
VAL-00447,SMP-00447,0.775,0.971,0.808,0.777,0.794,0.225,0.269,accept,Answer is supported by retrieved context.,0
VAL-00448,SMP-00448,0.905,0.976,0.832,0.704,0.636,0.258,0.291,accept,Answer is supported by retrieved context.,0
VAL-00449,SMP-00449,0.832,0.804,0.985,0.907,0.765,0.34,0.213,accept,Answer is supported by retrieved context.,0
VAL-00450,SMP-00450,0.837,0.794,0.786,0.752,0.779,0.303,0.156,accept,Answer is supported by retrieved context.,0
VAL-00451,SMP-00451,0.353,0.591,0.902,0.335,0.677,0.335,0.66,reject,Validator detected fabricated citation; answer needs evidence-grounded revision.,2
VAL-00452,SMP-00452,0.428,0.377,0.814,0.262,0.901,0.741,0.939,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00453,SMP-00453,0.519,0.43,0.883,0.524,0.728,0.09,0.794,reject,Validator detected factual error; answer needs evidence-grounded revision.,3
VAL-00454,SMP-00454,0.89,0.939,0.951,0.774,0.798,0.09,0.268,revise,Answer is supported by retrieved context.,0
VAL-00455,SMP-00455,0.433,0.548,0.972,0.433,0.833,0.086,0.829,revise,Validator detected factual error; answer needs evidence-grounded revision.,3
VAL-00456,SMP-00456,0.941,0.76,0.732,0.957,0.975,0.055,0.19,accept,Answer is supported by retrieved context.,0
VAL-00457,SMP-00457,0.899,0.867,0.709,0.975,0.658,0.376,0.223,revise,Answer is supported by retrieved context.,0
VAL-00458,SMP-00458,0.986,0.843,0.982,0.852,0.893,0.19,0.04,accept,Answer is supported by retrieved context.,0
VAL-00459,SMP-00459,0.692,0.664,0.968,0.232,0.623,0.354,0.817,revise,Validator detected outdated information; answer needs evidence-grounded revision.,2
VAL-00460,SMP-00460,0.874,0.968,0.766,0.88,0.821,0.296,0.349,accept,Answer is supported by retrieved context.,0
VAL-00461,SMP-00461,0.934,0.833,0.829,0.95,0.654,0.092,0.048,accept,Answer is supported by retrieved context.,0
VAL-00462,SMP-00462,0.852,0.767,0.977,0.85,0.954,0.152,0.127,accept,Answer is supported by retrieved context.,1
VAL-00463,SMP-00463,0.967,0.836,0.815,0.759,0.975,0.313,0.312,accept,Answer is supported by retrieved context.,0
VAL-00464,SMP-00464,0.669,0.313,0.983,0.293,0.669,0.522,0.872,reject,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00465,SMP-00465,0.286,0.235,0.969,0.207,0.629,0.243,0.751,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00466,SMP-00466,0.924,0.766,0.82,0.885,0.825,0.336,0.089,accept,Answer is supported by retrieved context.,0
VAL-00467,SMP-00467,0.765,0.842,0.738,0.739,0.824,0.131,0.022,accept,Answer is supported by retrieved context.,0
VAL-00468,SMP-00468,0.449,0.302,0.831,0.475,0.865,0.36,0.772,revise,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00469,SMP-00469,0.848,0.977,0.876,0.843,0.8,0.284,0.339,accept,Answer is supported by retrieved context.,0
VAL-00470,SMP-00470,0.893,0.929,0.718,0.906,0.642,0.1,0.117,accept,Answer is supported by retrieved context.,0
VAL-00471,SMP-00471,0.807,0.915,0.813,0.822,0.973,0.201,0.056,accept,Answer is supported by retrieved context.,1
VAL-00472,SMP-00472,0.561,0.47,0.875,0.284,0.695,0.311,0.73,revise,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00473,SMP-00473,0.932,0.929,0.793,0.734,0.87,0.188,0.278,accept,Answer is supported by retrieved context.,1
VAL-00474,SMP-00474,0.403,0.281,0.896,0.562,0.866,0.145,0.673,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00475,SMP-00475,0.826,0.865,0.754,0.758,0.722,0.159,0.187,accept,Answer is supported by retrieved context.,0
VAL-00476,SMP-00476,0.824,0.946,0.759,0.839,0.641,0.249,0.059,revise,Answer is supported by retrieved context.,0
VAL-00477,SMP-00477,0.33,0.422,0.749,0.362,0.95,0.019,0.657,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00478,SMP-00478,0.584,0.403,0.848,0.393,0.792,0.332,0.752,reject,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00479,SMP-00479,0.86,0.984,0.943,0.934,0.948,0.147,0.149,accept,Answer is supported by retrieved context.,0
VAL-00480,SMP-00480,0.867,0.752,0.757,0.765,0.664,0.281,0.026,accept,Answer is supported by retrieved context.,0
VAL-00481,SMP-00481,0.569,0.363,0.921,0.592,0.73,0.36,0.836,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00482,SMP-00482,0.868,0.971,0.956,0.952,0.767,0.308,0.119,accept,Answer is supported by retrieved context.,0
VAL-00483,SMP-00483,0.792,0.88,0.9,0.798,0.849,0.121,0.14,accept,Answer is supported by retrieved context.,0
VAL-00484,SMP-00484,0.887,0.909,0.883,0.798,0.775,0.025,0.136,accept,Answer is supported by retrieved context.,0
VAL-00485,SMP-00485,0.515,0.666,0.825,0.362,0.627,0.322,0.654,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00486,SMP-00486,0.862,0.857,0.785,0.87,0.629,0.116,0.042,accept,Answer is supported by retrieved context.,0
VAL-00487,SMP-00487,0.967,0.937,0.84,0.824,0.898,0.143,0.251,accept,Answer is supported by retrieved context.,1
VAL-00488,SMP-00488,0.575,0.273,0.722,0.544,0.708,0.213,0.777,revise,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00489,SMP-00489,0.802,0.751,0.729,0.799,0.638,0.185,0.047,accept,Answer is supported by retrieved context.,0
VAL-00490,SMP-00490,0.915,0.865,0.803,0.91,0.658,0.285,0.308,accept,Answer is supported by retrieved context.,1
VAL-00491,SMP-00491,0.851,0.873,0.839,0.818,0.923,0.154,0.322,accept,Answer is supported by retrieved context.,1
VAL-00492,SMP-00492,0.796,0.86,0.829,0.845,0.83,0.376,0.027,accept,Answer is supported by retrieved context.,1
VAL-00493,SMP-00493,0.782,0.889,0.937,0.975,0.888,0.289,0.145,accept,Answer is supported by retrieved context.,0
VAL-00494,SMP-00494,0.248,0.438,0.85,0.232,0.74,0.093,0.703,revise,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00495,SMP-00495,0.324,0.586,0.763,0.276,0.639,0.1,0.654,revise,Validator detected outdated information; answer needs evidence-grounded revision.,2
VAL-00496,SMP-00496,0.91,0.902,0.879,0.906,0.937,0.321,0.341,accept,Answer is supported by retrieved context.,0
VAL-00497,SMP-00497,0.874,0.788,0.836,0.851,0.735,0.317,0.26,revise,Answer is supported by retrieved context.,0
VAL-00498,SMP-00498,0.524,0.208,0.737,0.461,0.855,0.847,0.652,reject,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00499,SMP-00499,0.224,0.485,0.782,0.553,0.695,0.232,0.802,reject,Validator detected fabricated citation; answer needs evidence-grounded revision.,2
VAL-00500,SMP-00500,0.271,0.396,0.7,0.565,0.742,0.211,0.728,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
