evidence_id,sample_id,retrieved_doc_id,retrieved_text_chunk,chunk_rank,similarity_score,source_type,source_reliability,evidence_relevance,supports_answer,contradicts_answer
EVD-00305-1,SMP-00305,DOC-0069,"Environment Reference Note 069: How does deforestation affect ecosystems. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",1,0.931,public-domain style explainer,high,relevant,yes,no
EVD-00305-2,SMP-00305,DOC-0120,"Environment Reference Note 120: How does deforestation affect ecosystems. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",2,0.545,curated knowledge card,medium,irrelevant,no,no
EVD-00305-3,SMP-00305,DOC-0081,"Environment Reference Note 081: What is climate adaptation. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",3,0.814,domain reference summary,medium,partially relevant,no,no
EVD-00306-1,SMP-00306,DOC-0017,Education Reference Note 017: How does active recall improve learning. Evidence summary: Blended learning combines face-to-face instruction with online learning activities or digital resources. Validation note: answer claims should remain limited to what this chunk supports.,1,0.576,curated knowledge card,high,partially relevant,no,no
EVD-00306-2,SMP-00306,DOC-0063,Education Reference Note 063: What is blended learning. Evidence summary: Blended learning combines face-to-face instruction with online learning activities or digital resources. Validation note: answer claims should remain limited to what this chunk supports.,2,0.521,curated knowledge card,low,partially relevant,yes,no
EVD-00306-3,SMP-00306,DOC-0065,Education Reference Note 065: How does active recall improve learning. Evidence summary: Blended learning combines face-to-face instruction with online learning activities or digital resources. Validation note: answer claims should remain limited to what this chunk supports.,3,0.517,synthetic policy brief,medium,relevant,yes,no
EVD-00307-1,SMP-00307,DOC-0001,"Environment Reference Note 001: What is renewable energy. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",1,0.885,public-domain style explainer,high,relevant,yes,no
EVD-00307-2,SMP-00307,DOC-0082,"Environment Reference Note 082: How does deforestation affect ecosystems. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",2,0.869,public-domain style explainer,high,relevant,yes,no
EVD-00307-3,SMP-00307,DOC-0086,"Environment Reference Note 086: What is air pollution. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",3,0.775,public-domain style explainer,medium,relevant,yes,yes
EVD-00308-1,SMP-00308,DOC-0045,"Legal Reference Note 045: Why are terms and conditions important. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",1,0.761,open educational note,low,partially relevant,no,no
EVD-00308-2,SMP-00308,DOC-0058,"Legal Reference Note 058: What is the purpose of a contract. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",2,0.844,synthetic policy brief,high,relevant,yes,no
EVD-00308-3,SMP-00308,DOC-0071,"Legal Reference Note 071: What is intellectual property. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",3,0.523,synthetic policy brief,medium,relevant,yes,no
EVD-00309-1,SMP-00309,DOC-0112,Education Reference Note 112: What is formative assessment. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,1,0.834,open educational note,high,relevant,yes,no
EVD-00309-2,SMP-00309,DOC-0023,Education Reference Note 023: How does active recall improve learning. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,2,0.824,synthetic policy brief,high,relevant,yes,no
EVD-00309-3,SMP-00309,DOC-0100,Education Reference Note 100: What is formative assessment. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,3,0.364,synthetic policy brief,medium,relevant,yes,no
EVD-00310-1,SMP-00310,DOC-0016,"Environment Reference Note 016: What is climate adaptation. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",1,0.567,domain reference summary,high,relevant,yes,no
EVD-00310-2,SMP-00310,DOC-0090,"Environment Reference Note 090: What is renewable energy. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",2,0.523,domain reference summary,high,relevant,yes,no
EVD-00310-3,SMP-00310,DOC-0060,"Environment Reference Note 060: What is climate adaptation. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",3,0.805,curated knowledge card,medium,irrelevant,yes,yes
EVD-00311-1,SMP-00311,DOC-0066,"Legal Reference Note 066: What does confidentiality mean in a business agreement. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",1,0.64,curated knowledge card,high,relevant,yes,no
EVD-00311-2,SMP-00311,DOC-0080,"Legal Reference Note 080: What is a privacy policy. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",2,0.634,public-domain style explainer,medium,partially relevant,yes,no
EVD-00311-3,SMP-00311,DOC-0052,"Legal Reference Note 052: What does confidentiality mean in a business agreement. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",3,0.438,curated knowledge card,medium,relevant,yes,no
EVD-00312-1,SMP-00312,DOC-0082,"Environment Reference Note 082: How does deforestation affect ecosystems. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",1,0.737,synthetic policy brief,high,relevant,yes,no
EVD-00312-2,SMP-00312,DOC-0012,"Environment Reference Note 012: What is renewable energy. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",2,0.606,synthetic policy brief,high,relevant,no,no
EVD-00312-3,SMP-00312,DOC-0120,"Environment Reference Note 120: How does deforestation affect ecosystems. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",3,0.778,open educational note,high,relevant,yes,no
EVD-00313-1,SMP-00313,DOC-0097,"Finance Reference Note 097: What is inflation and why does it matter. Evidence summary: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. Validation note: answer claims should remain limited to what this chunk supports.",1,0.547,synthetic policy brief,high,relevant,yes,no
EVD-00313-2,SMP-00313,DOC-0019,"Finance Reference Note 019: Why is an emergency fund useful. Evidence summary: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. Validation note: answer claims should remain limited to what this chunk supports.",2,0.47,open educational note,low,relevant,yes,no
EVD-00313-3,SMP-00313,DOC-0116,"Finance Reference Note 116: What is diversification in investment. Evidence summary: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. Validation note: answer claims should remain limited to what this chunk supports.",3,0.525,public-domain style explainer,high,partially relevant,no,no
EVD-00314-1,SMP-00314,DOC-0053,Legal Reference Note 053: Why are terms and conditions important. Evidence summary: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement. Validation note: answer claims should remain limited to what this chunk supports.,1,0.826,synthetic policy brief,high,relevant,yes,yes
EVD-00314-2,SMP-00314,DOC-0006,Legal Reference Note 006: What is the purpose of a contract. Evidence summary: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement. Validation note: answer claims should remain limited to what this chunk supports.,2,0.693,curated knowledge card,medium,partially relevant,yes,no
EVD-00314-3,SMP-00314,DOC-0109,Legal Reference Note 109: What is the purpose of a contract. Evidence summary: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement. Validation note: answer claims should remain limited to what this chunk supports.,3,0.578,open educational note,medium,relevant,yes,no
EVD-00315-1,SMP-00315,DOC-0099,Finance Reference Note 099: What is diversification in investment. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,1,0.644,curated knowledge card,high,relevant,yes,no
EVD-00315-2,SMP-00315,DOC-0031,Finance Reference Note 031: What is inflation and why does it matter. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,2,0.761,curated knowledge card,low,partially relevant,yes,no
EVD-00315-3,SMP-00315,DOC-0004,Finance Reference Note 004: Why is an emergency fund useful. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,3,0.796,domain reference summary,high,relevant,yes,no
EVD-00316-1,SMP-00316,DOC-0063,"Education Reference Note 063: What is blended learning. Evidence summary: Feedback helps learners understand strengths, correct mistakes, and improve future performance. Validation note: answer claims should remain limited to what this chunk supports.",1,0.558,public-domain style explainer,low,relevant,yes,no
EVD-00316-2,SMP-00316,DOC-0008,"Education Reference Note 008: What is formative assessment. Evidence summary: Feedback helps learners understand strengths, correct mistakes, and improve future performance. Validation note: answer claims should remain limited to what this chunk supports.",2,0.742,domain reference summary,medium,relevant,yes,no
EVD-00316-3,SMP-00316,DOC-0096,"Education Reference Note 096: How does active recall improve learning. Evidence summary: Feedback helps learners understand strengths, correct mistakes, and improve future performance. Validation note: answer claims should remain limited to what this chunk supports.",3,0.828,synthetic policy brief,medium,relevant,yes,no
EVD-00317-1,SMP-00317,DOC-0095,"Education Reference Note 095: What is a learning objective. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",1,0.802,open educational note,high,relevant,yes,no
EVD-00317-2,SMP-00317,DOC-0038,"Education Reference Note 038: Why is feedback important in education. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",2,0.822,domain reference summary,medium,partially relevant,no,yes
EVD-00317-3,SMP-00317,DOC-0023,"Education Reference Note 023: How does active recall improve learning. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",3,0.612,open educational note,high,relevant,yes,no
EVD-00318-1,SMP-00318,DOC-0005,"Healthcare Reference Note 005: How does diabetes affect wound healing. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",1,0.763,public-domain style explainer,high,relevant,yes,no
EVD-00318-2,SMP-00318,DOC-0075,"Healthcare Reference Note 075: What is the recommended first-line lifestyle advice fo. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",2,0.731,open educational note,medium,partially relevant,no,no
EVD-00318-3,SMP-00318,DOC-0106,"Healthcare Reference Note 106: Why should antibiotics not be used for viral infection. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",3,0.627,curated knowledge card,medium,partially relevant,no,no
EVD-00319-1,SMP-00319,DOC-0103,"Technology Reference Note 103: What is a vector database used for. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",1,0.506,open educational note,high,partially relevant,yes,no
EVD-00319-2,SMP-00319,DOC-0007,"Technology Reference Note 007: Why is model evaluation important. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",2,0.867,public-domain style explainer,high,partially relevant,no,no
EVD-00319-3,SMP-00319,DOC-0018,"Technology Reference Note 018: Why is model evaluation important. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",3,0.72,public-domain style explainer,medium,relevant,yes,no
EVD-00320-1,SMP-00320,DOC-0106,"Healthcare Reference Note 106: Why should antibiotics not be used for viral infection. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",1,0.492,public-domain style explainer,low,partially relevant,yes,no
EVD-00320-2,SMP-00320,DOC-0118,"Healthcare Reference Note 118: What are common warning signs of dehydration. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",2,0.818,open educational note,high,relevant,yes,no
EVD-00320-3,SMP-00320,DOC-0075,"Healthcare Reference Note 075: What is the recommended first-line lifestyle advice fo. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",3,0.554,synthetic policy brief,high,relevant,yes,no
EVD-00321-1,SMP-00321,DOC-0103,"Technology Reference Note 103: What is a vector database used for. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",1,0.854,domain reference summary,high,relevant,yes,no
EVD-00321-2,SMP-00321,DOC-0057,"Technology Reference Note 057: What is retrieval-augmented generation. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",2,0.865,curated knowledge card,high,relevant,yes,no
EVD-00321-3,SMP-00321,DOC-0057,"Technology Reference Note 057: What is retrieval-augmented generation. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",3,0.566,curated knowledge card,medium,relevant,no,yes
EVD-00322-1,SMP-00322,DOC-0088,"Finance Reference Note 088: What does credit risk mean. Evidence summary: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Validation note: answer claims should remain limited to what this chunk supports.",1,0.523,synthetic policy brief,medium,relevant,yes,no
EVD-00322-2,SMP-00322,DOC-0020,"Finance Reference Note 020: How does compound interest work. Evidence summary: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Validation note: answer claims should remain limited to what this chunk supports.",2,0.768,curated knowledge card,high,relevant,yes,no
EVD-00322-3,SMP-00322,DOC-0116,"Finance Reference Note 116: What is diversification in investment. Evidence summary: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Validation note: answer claims should remain limited to what this chunk supports.",3,0.779,domain reference summary,medium,partially relevant,yes,yes
EVD-00323-1,SMP-00323,DOC-0024,"Legal Reference Note 024: What is a privacy policy. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",1,0.755,public-domain style explainer,high,relevant,no,no
EVD-00323-2,SMP-00323,DOC-0102,"Legal Reference Note 102: Why are terms and conditions important. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",2,0.612,public-domain style explainer,medium,relevant,yes,no
EVD-00323-3,SMP-00323,DOC-0059,"Legal Reference Note 059: What is a privacy policy. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",3,0.763,public-domain style explainer,medium,relevant,yes,no
EVD-00324-1,SMP-00324,DOC-0075,"Healthcare Reference Note 075: What is the recommended first-line lifestyle advice fo. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",1,0.514,synthetic policy brief,medium,partially relevant,yes,no
EVD-00324-2,SMP-00324,DOC-0005,"Healthcare Reference Note 005: How does diabetes affect wound healing. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",2,0.781,public-domain style explainer,high,relevant,yes,no
EVD-00324-3,SMP-00324,DOC-0035,"Healthcare Reference Note 035: What are common warning signs of dehydration. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",3,0.828,open educational note,medium,relevant,yes,no
EVD-00325-1,SMP-00325,DOC-0102,"Legal Reference Note 102: Why are terms and conditions important. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",1,0.628,curated knowledge card,high,partially relevant,no,no
EVD-00325-2,SMP-00325,DOC-0053,"Legal Reference Note 053: Why are terms and conditions important. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",2,0.536,curated knowledge card,medium,partially relevant,yes,no
EVD-00325-3,SMP-00325,DOC-0074,"Legal Reference Note 074: What is the purpose of a contract. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",3,0.448,domain reference summary,medium,partially relevant,yes,no
EVD-00326-1,SMP-00326,DOC-0095,"Education Reference Note 095: What is a learning objective. Evidence summary: Feedback helps learners understand strengths, correct mistakes, and improve future performance. Validation note: answer claims should remain limited to what this chunk supports.",1,0.957,synthetic policy brief,high,relevant,yes,no
EVD-00326-2,SMP-00326,DOC-0095,"Education Reference Note 095: What is a learning objective. Evidence summary: Feedback helps learners understand strengths, correct mistakes, and improve future performance. Validation note: answer claims should remain limited to what this chunk supports.",2,0.668,domain reference summary,medium,relevant,yes,no
EVD-00326-3,SMP-00326,DOC-0092,"Education Reference Note 092: How does active recall improve learning. Evidence summary: Feedback helps learners understand strengths, correct mistakes, and improve future performance. Validation note: answer claims should remain limited to what this chunk supports.",3,0.398,public-domain style explainer,high,irrelevant,yes,no
EVD-00327-1,SMP-00327,DOC-0041,"Finance Reference Note 041: What is inflation and why does it matter. Evidence summary: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. Validation note: answer claims should remain limited to what this chunk supports.",1,0.539,public-domain style explainer,high,partially relevant,yes,no
EVD-00327-2,SMP-00327,DOC-0040,"Finance Reference Note 040: How does compound interest work. Evidence summary: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. Validation note: answer claims should remain limited to what this chunk supports.",2,0.781,curated knowledge card,low,relevant,yes,no
EVD-00327-3,SMP-00327,DOC-0088,"Finance Reference Note 088: What does credit risk mean. Evidence summary: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. Validation note: answer claims should remain limited to what this chunk supports.",3,0.584,open educational note,high,relevant,yes,no
EVD-00328-1,SMP-00328,DOC-0095,"Education Reference Note 095: What is a learning objective. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",1,0.666,open educational note,high,relevant,yes,no
EVD-00328-2,SMP-00328,DOC-0063,"Education Reference Note 063: What is blended learning. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",2,0.712,open educational note,medium,relevant,yes,no
EVD-00328-3,SMP-00328,DOC-0095,"Education Reference Note 095: What is a learning objective. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",3,0.47,curated knowledge card,low,relevant,yes,no
EVD-00329-1,SMP-00329,DOC-0058,"Legal Reference Note 058: What is the purpose of a contract. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",1,0.738,public-domain style explainer,medium,relevant,yes,no
EVD-00329-2,SMP-00329,DOC-0059,"Legal Reference Note 059: What is a privacy policy. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",2,0.693,domain reference summary,high,partially relevant,no,no
EVD-00329-3,SMP-00329,DOC-0083,"Legal Reference Note 083: What is intellectual property. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",3,0.786,public-domain style explainer,low,relevant,yes,no
EVD-00330-1,SMP-00330,DOC-0052,Legal Reference Note 052: What does confidentiality mean in a business agreement. Evidence summary: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement. Validation note: answer claims should remain limited to what this chunk supports.,1,0.728,public-domain style explainer,high,partially relevant,yes,yes
EVD-00330-2,SMP-00330,DOC-0109,Legal Reference Note 109: What is the purpose of a contract. Evidence summary: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement. Validation note: answer claims should remain limited to what this chunk supports.,2,0.812,synthetic policy brief,medium,relevant,yes,no
EVD-00330-3,SMP-00330,DOC-0052,Legal Reference Note 052: What does confidentiality mean in a business agreement. Evidence summary: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement. Validation note: answer claims should remain limited to what this chunk supports.,3,0.611,domain reference summary,medium,partially relevant,yes,no
EVD-00331-1,SMP-00331,DOC-0048,"Technology Reference Note 048: What is an API. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",1,0.497,open educational note,high,partially relevant,yes,yes
EVD-00331-2,SMP-00331,DOC-0007,"Technology Reference Note 007: Why is model evaluation important. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",2,0.422,curated knowledge card,high,relevant,yes,no
EVD-00331-3,SMP-00331,DOC-0114,"Technology Reference Note 114: What is retrieval-augmented generation. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",3,0.793,synthetic policy brief,medium,relevant,yes,no
EVD-00332-1,SMP-00332,DOC-0057,"Technology Reference Note 057: What is retrieval-augmented generation. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",1,0.778,open educational note,medium,relevant,yes,yes
EVD-00332-2,SMP-00332,DOC-0089,"Technology Reference Note 089: What is a vector database used for. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",2,0.688,public-domain style explainer,high,partially relevant,yes,no
EVD-00332-3,SMP-00332,DOC-0114,"Technology Reference Note 114: What is retrieval-augmented generation. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",3,0.668,public-domain style explainer,low,relevant,yes,no
EVD-00333-1,SMP-00333,DOC-0083,"Legal Reference Note 083: What is intellectual property. Evidence summary: Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling. Validation note: answer claims should remain limited to what this chunk supports.",1,0.699,synthetic policy brief,high,relevant,yes,no
EVD-00333-2,SMP-00333,DOC-0045,"Legal Reference Note 045: Why are terms and conditions important. Evidence summary: Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling. Validation note: answer claims should remain limited to what this chunk supports.",2,0.456,public-domain style explainer,high,relevant,yes,no
EVD-00333-3,SMP-00333,DOC-0102,"Legal Reference Note 102: Why are terms and conditions important. Evidence summary: Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling. Validation note: answer claims should remain limited to what this chunk supports.",3,0.569,open educational note,medium,relevant,no,yes
EVD-00334-1,SMP-00334,DOC-0104,"Healthcare Reference Note 104: Why should antibiotics not be used for viral infection. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",1,0.545,domain reference summary,high,relevant,yes,no
EVD-00334-2,SMP-00334,DOC-0119,"Healthcare Reference Note 119: Why should antibiotics not be used for viral infection. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",2,0.766,curated knowledge card,low,relevant,yes,no
EVD-00334-3,SMP-00334,DOC-0010,"Healthcare Reference Note 010: How does diabetes affect wound healing. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",3,0.608,open educational note,high,relevant,yes,no
EVD-00335-1,SMP-00335,DOC-0039,"Healthcare Reference Note 039: What is the recommended first-line lifestyle advice fo. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",1,0.753,open educational note,low,partially relevant,no,no
EVD-00335-2,SMP-00335,DOC-0106,"Healthcare Reference Note 106: Why should antibiotics not be used for viral infection. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",2,0.571,synthetic policy brief,low,relevant,yes,no
EVD-00335-3,SMP-00335,DOC-0118,"Healthcare Reference Note 118: What are common warning signs of dehydration. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",3,0.834,synthetic policy brief,high,relevant,yes,no
EVD-00336-1,SMP-00336,DOC-0013,"Education Reference Note 013: Why is feedback important in education. Evidence summary: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. Validation note: answer claims should remain limited to what this chunk supports.",1,0.674,open educational note,low,relevant,yes,no
EVD-00336-2,SMP-00336,DOC-0065,"Education Reference Note 065: How does active recall improve learning. Evidence summary: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. Validation note: answer claims should remain limited to what this chunk supports.",2,0.593,curated knowledge card,medium,relevant,yes,no
EVD-00336-3,SMP-00336,DOC-0056,"Education Reference Note 056: What is blended learning. Evidence summary: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. Validation note: answer claims should remain limited to what this chunk supports.",3,0.389,curated knowledge card,high,relevant,yes,no
EVD-00337-1,SMP-00337,DOC-0034,"Environment Reference Note 034: What is renewable energy. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",1,0.876,public-domain style explainer,low,relevant,yes,no
EVD-00337-2,SMP-00337,DOC-0081,"Environment Reference Note 081: What is climate adaptation. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",2,0.657,curated knowledge card,high,irrelevant,no,no
